Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae	988534	0.0	0.0	0.0	0.0
Bacteria,Actinobacteria,MB-A2-108,0319-7L14	4479944	0.0	0.0	0.0	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae	4479940	0.0	0.0	0.0	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicimonaceae	370251	0.0	0.0	0.0	0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia	11544	0.0	0.0	0.0	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	581609	0.0	0.0	0.0	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum	4341234	0.0	0.0	0.0	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Pseudoalteromonadaceae,Pseudoalteromonas	19398	0.0	0.0	0.0	0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium	4470542	0.0	0.0	0.0	0.0
Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Xenococcaceae,Chroococcidiopsis	649518	0.0	0.0	0.0	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	300250	9.70436876492e-06	9.39232884059e-06	1.70475241687e-06	1.36423261636e-06
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus	359103	0.0	0.0	0.0	0.0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales	807854	0.0	0.0	0.0	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis	4371046	0.0	0.0	0.0	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium	1134664	0.0	0.0	0.0	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7	177641	0.0	0.0	0.0	0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae	623091	0.0	0.0	0.0	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	191468	0.0	1.6252253007e-06	0.0	1.07164182815e-07
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae	4433034	0.0	0.0	0.0	0.0
